# RA_1      DEC_1     Unnamed:_0 Field        ID                       RA_2               DEC_2               FWHM               ISOarea KRON_RADIUS        nDet_magPStotal PhotoFlagDet U_PStotal          F378_PStotal       F395_PStotal       F410_PStotal       F430_PStotal       G_PStotal          F515_PStotal       R_PStotal          F660_PStotal       I_PStotal          F861_PStotal       Z_PStotal          e_U_PStotal          e_F378_PStotal       e_F395_PStotal       e_F410_PStotal       e_F430_PStotal       e_G_PStotal           e_F515_PStotal        e_R_PStotal           e_F660_PStotal        e_I_PStotal           e_F861_PStotal        e_Z_PStotal           r_-_i                 r_-_J0660           e(r_-_i)              e(r_-_J0660)          Unnamed:_0.1 GroupID GroupSize Separation        
  54.621179 -35.45074 40444      SPLUS-s27s37 iDR3.SPLUS-s27s37.013557 58.350972467722215 -35.16254310994215  2.9226098          129     3.6518839999999995 12.0            0            21.556885          21.100002          20.735             20.321125          20.509476          18.960987          18.639898000000002 17.634895          16.360018          16.123978          15.624544          15.440745999999999 0.24414288           0.31069052           0.3825949            0.24266136           0.28802812           0.029384577999999998  0.048962377           0.011210035           0.0060870640000000005 0.0051656924          0.0069866953          0.0047543757          1.5109169999999992    1.274877            0.012342984350336135  0.012756066511323974  ""           1       191       11005.925069457033
  54.621179 -35.45074 41258      SPLUS-s27s38 iDR3.SPLUS-s27s38.002186 60.364753550347366 -35.52339290661089  2.7952453999999998 119     3.4617139999999997 12.0            2            19.427448000000002 19.417068          19.067460999999998 18.481262          18.384296          17.909810999999998 17.740879999999997 17.008064          16.517525          16.586071          15.895933          16.282372          0.038973518          0.06320818           0.07693009           0.04947845           0.042371284          0.01210878            0.022620348           0.0065552195999999995 0.00597641            0.0057827980000000005 0.006955259           0.0068264427          0.4219930000000005    0.49053900000000183 0.008741376133826308  0.0088706471292868    ""           1       191       16835.721189977347
  54.621179 -35.45074 42087      SPLUS-s27s38 iDR3.SPLUS-s27s38.041060 60.19197563815276  -34.40769068554132  2.92334            133     3.8390207000000003 12.0            0            18.185467000000003 17.970074          17.934484          17.927511          17.80868           17.87115           17.773224          17.515251          17.190317          17.50345           16.363203          16.873623000000002 0.018287621          0.02505648           0.036352377000000005 0.034209166          0.029208655          0.011810353999999999  0.02296951            0.008624732           0.00846829            0.009971997           0.009074597           0.010090809000000001  0.011800999999998396  0.32493399999999895 0.013184336397401008  0.012087097980736485  ""           1       191       16862.889472254352
  54.621179 -35.45074 42167      SPLUS-s27s38 iDR3.SPLUS-s27s38.044990 61.3910130275791   -34.15513263979405  9.13841            227     3.6691656000000004 12.0            2            18.242363          18.70134           18.537257999999998 17.542279999999998 17.168377          18.747335          16.933857          17.883091          16.655828          16.995926          17.771317          15.91911           0.018466312          0.038264144          0.05229566           0.027289797          0.020293593000000002 0.019960394           0.014477002           0.010688636000000001  0.0064686113          0.0073378309999999995 0.02249029            0.005456374           0.8871649999999995    1.2272630000000007  0.012964979881398081  0.012493593225769107  ""           1       191       20543.487408161964
  54.621179 -35.45074 49304      SPLUS-s28s32 iDR3.SPLUS-s28s32.028924 51.434255664956204 -36.26333289514362  2.526024           105     3.522854           12.0            2            19.267838          19.1726            18.820364          18.450794000000002 18.249294          17.822354999999998 17.694412          16.978975          16.576324          16.632347          16.031185          16.390133          0.05102038           0.06885002           0.076491535          0.052350175          0.04500872           0.014222048999999999  0.024290198           0.007094873000000001  0.006531360999999999  0.0061939303          0.0075244596          0.007254727           0.34662799999999905   0.40265099999999876 0.009418173678977633  0.009643438152362984  ""           1       191       9747.304879036497 
  54.621179 -35.45074 53018      SPLUS-s28s36 iDR3.SPLUS-s28s36.007953 58.58469551653978  -36.591194753089425 2.4015927          47      3.6793226999999997 12.0            0            22.159164          20.685493          22.258865          20.036945000000003 19.577257          18.69739           18.612842999999998 17.739529          17.321789000000003 17.314795          17.181082          17.10751           0.9029860000000001   0.37333685           3.136748             0.32324272           0.21131045           0.037902817000000005  0.06808444            0.013467458           0.011441033           0.01115484            0.018501652           0.013816998           0.42473400000000083   0.41773999999999845 0.017487220488327012  0.017671153360458762  ""           1       191       12247.859718575095
  54.621179 -35.45074 65713      SPLUS-s29s31 iDR3.SPLUS-s29s31.008611 51.22630535895587  -37.950023693657016 1.9880740000000001 97      3.4512940000000003 12.0            0            17.433111          17.065632          17.225622          17.267870000000002 17.175743          17.24107           17.177216          17.093853          16.922473999999998 17.190607          16.602283          16.702784          0.014375200000000001 0.016157717          0.026076177000000002 0.024678903          0.022055843999999998 0.009692145           0.01778447            0.0076039224          0.007916985999999999  0.008625812           0.011531201000000001  0.008726164           -0.09675400000000067  0.17137900000000172 0.011498881185774804  0.010977171912173815  ""           1       191       13301.171506511926
  54.621179 -35.45074 82045      SPLUS-s30s35 iDR3.SPLUS-s30s35.005601 58.54573394495856  -39.39399150176758  1.7503948          58      3.1196165000000002 12.0            0            21.827157999999997 21.322485          20.61973           21.018210999999997 20.834713          19.384532999999998 19.029804000000002 17.990599          16.305214000000003 16.403042000000003 15.717918          15.660842          0.4023772            0.40844208           0.36700055           0.5081366            0.41456982           0.044135365999999995  0.06671828            0.012645223999999998  0.005379153           0.005193848           0.006314330999999999  0.004586652           1.5875569999999968    1.6853849999999966  0.013670323590072034  0.013741796716862936  ""           1       191       18090.369302821204
  54.621179 -35.45074 3430       SPLUS-s24s33 iDR3.SPLUS-s24s33.013199 50.46706107226197  -31.153930849410905 4.171201           40      4.0478687          12.0            0            19.351             19.244335          19.240370000000002 19.247475          19.129698          19.099586          19.082708          18.792572          18.504654000000002 18.820435          18.793723999999997 18.781902          0.048917893          0.07346376           0.12851802           0.11126685           0.098544605          0.035574418           0.07518221            0.024208855           0.020543355           0.032116093           0.061704833           0.05283865            -0.02786299999999997  0.2879179999999977  0.040218305409299306  0.03175056054728877   ""           1       191       19882.445146029273
  54.621179 -35.45074 8357       SPLUS-s24s35 iDR3.SPLUS-s24s35.035391 54.13066603844739  -30.37693228534811  5.234466           36      5.323415799999999  11.0            0            21.709969          99.0               20.851011          19.782173          21.790323          20.310566          19.616001          19.447589999999998 18.524914000000003 18.99922           18.79893           18.798885000000002 0.54580474           20.885379999999998   0.7271594            0.3022965            1.6952206000000003   0.1622664             0.17287885            0.05290174            0.02678712            0.039309397           0.06757778            0.05266423            0.44836999999999705   0.9226759999999956  0.06590768382769348   0.05929708165603093   ""           1       191       18325.675112351724
  54.621179 -35.45074 31881      SPLUS-s25s32 iDR3.SPLUS-s25s32.003575 48.851447026851304 -32.84285738587125  3.701833           24      4.0693746          12.0            0            24.344788          21.679029999999997 22.846523          23.770676          21.238712          21.17976           20.940479999999997 19.878674          17.622772          19.315197          19.112703          18.871311          3.7091382000000004   0.5209645            2.5084336            5.311184             0.5122705            0.16384634            0.29207537            0.044591144000000006  0.010447181           0.035152834           0.062194165           0.04125277            0.5634769999999989    2.255901999999999   0.05678108718103496   0.04579862131195106   ""           1       191       19581.695922238403
  54.621179 -35.45074 32363      SPLUS-s25s32 iDR3.SPLUS-s25s32.012431 50.14730457895836  -32.58136086849133  3.1765093999999996 27      3.8624873          12.0            0            22.00708           23.514673000000002 22.029736          21.293395999999998 24.592173000000003 21.358429          22.058552          19.999832          18.62111           18.551281          18.109362          17.899654          0.43743318           2.7512298            1.1840116000000003   0.5443816            10.760562            0.18837866            0.78230697            0.048663585999999995  0.018979862           0.019103626000000002  0.027539892000000003  0.01846242            1.448551000000002     1.3787219999999998  0.052278993187773536  0.05223389478029031   ""           1       191       16876.246279374926
  54.621179 -35.45074 32480      SPLUS-s25s32 iDR3.SPLUS-s25s32.014529 49.149922284889506 -32.51624417188677  3.0161505          26      3.2081618          12.0            0            19.575518          19.459889999999998 19.510792000000002 19.770573000000002 19.819374          19.5934            19.712173          19.339752          18.987935999999998 19.265358          19.277420000000003 19.297657          0.055489592000000004 0.07838723           0.13118951           0.14130469           0.14299259           0.042113736           0.09847862            0.02927606            0.024504788           0.033166232999999996  0.07025169            0.05840367            0.07439400000000163   0.351816000000003   0.04423897264329144   0.03817816554064042   ""           1       191       19445.972776767718
  54.621179 -35.45074 35679      SPLUS-s25s33 iDR3.SPLUS-s25s33.020643 51.34039770708346  -32.46067132187973  1.9058987          13      3.840614           12.0            0            19.737198          19.431509          19.71944           19.877323          19.712954999999997 19.855526          19.601994          19.414997          19.047314          19.388397          19.476677          19.428791          0.074915566          0.08679052400000001  0.17299873           0.18658824           0.15447244           0.061747544           0.10359645            0.03415252            0.02832123            0.037182074           0.08856261            0.06432447            0.026599999999998403  0.36768299999999954 0.05048664426649761   0.04436763111845504   ""           1       191       14552.832969296664
  54.621179 -35.45074 35716      SPLUS-s25s33 iDR3.SPLUS-s25s33.021408 51.196977982457035 -32.440788471344185 1.8477911          19      3.5160372000000004 11.0            0            23.319563          99.0               21.09114           23.628494          24.890465          21.083288          20.538662          19.444927          18.431744000000002 18.364594          17.968432999999997 17.930573000000003 1.8450971            21.401267999999998   0.5833328000000001   5.5964403            17.029217000000003   0.18063675            0.23357642            0.03512689            0.0182315             0.016791033           0.02588467            0.018633995           1.0803329999999995    1.013182999999998   0.03893375386832342   0.039576331226152076  ""           1       191       14897.086624095471
  54.621179 -35.45074 37898      SPLUS-s25s35 iDR3.SPLUS-s25s35.005753 53.59330255877767  -32.80182671322208  3.6011946000000004 34      5.002156299999999  12.0            0            21.639416          21.733454000000002 21.750643          21.248611          20.610970000000002 20.780724          20.533562          19.938839          19.413042          19.698254000000002 18.792773999999998 19.007960999999998 0.31669018           0.5587154000000001   0.9008999            0.54272115           0.29296893           0.10422843            0.2016363             0.04533258            0.032520864           0.04889948            0.055717178           0.049159165           0.24058499999999938   0.5257970000000007  0.06667984668343802   0.05579112299248775   ""           1       191       10015.782513248923
  54.621179 -35.45074 38337      SPLUS-s25s35 iDR3.SPLUS-s25s35.012191 54.705527913018955 -32.649781603178226 3.014872           25      4.2830377          12.0            0            20.66421           20.760668          20.144942999999998 20.563779999999998 20.358387          19.951221          19.956131          19.568008          19.181025          19.491629          18.982103          19.187824          0.13436897           0.23517343           0.21679571           0.28963336           0.23069395           0.051323477           0.12086696            0.033623863           0.027374445           0.040557466           0.06469005            0.05680416            0.07637899999999931   0.3869829999999972  0.052682750605714625  0.04335809500082763   ""           1       191       10086.587024000248
  54.621179 -35.45074 39328      SPLUS-s25s35 iDR3.SPLUS-s25s35.029098 54.32200797013402  -32.220150884981834 2.1697097000000003 20      4.139844999999999  11.0            0            21.7704            99.0               23.311571          22.381416          21.791187          20.93869           20.425785          19.785524          18.917745999999998 18.695581          18.249029999999998 18.193329000000002 0.38298374           21.527815            4.032943700000001    1.5146652            0.8426983            0.11927668            0.18334648            0.041005626           0.02329577            0.021716753           0.035433576           0.024706463999999997  1.089942999999998     0.8677780000000013  0.046401279341359604  0.04716094001973218   ""           1       191       11664.456402279338
  54.621179 -35.45074 39605      SPLUS-s25s35 iDR3.SPLUS-s25s35.034597 54.5524910710983   -32.08838801645791  8.111809           309     4.350181           12.0            2            20.91289           20.428213          19.995226000000002 20.737314          19.88427           19.641514          19.160614000000002 18.967396          18.05167           18.629307          18.461441          18.415115          0.17518702           0.18522376           0.20032988           0.3401996            0.15447344           0.040435900000000004  0.06376001            0.021755947           0.013219345           0.020599691           0.041915577           0.029502197999999997  0.3380890000000001    0.9157259999999994  0.029961116453868838  0.02545726442679641   ""           1       191       12106.21120073063 
  54.621179 -35.45074 40275      SPLUS-s25s35 iDR3.SPLUS-s25s35.048368 54.340362663073066 -31.59859753270717  2.5382373          21      3.6822321000000002 12.0            0            21.088993          20.625629999999997 21.802221          20.161898          20.559956          20.02287           19.973198          19.774332          19.35705           19.55671           18.986538          19.084152          0.19835167           0.21332599           0.9635744            0.20717731           0.27977687           0.05520589            0.124550596           0.04027706            0.031612348           0.043608904000000004  0.06559051            0.05245902400000001   0.2176220000000022    0.41728200000000015 0.059363103610953635  0.051201387757722976  ""           1       191       13893.275235600218
