Field ID RA DEC FWHM ISOarea KRON_RADIUS nDet_magPStotal PhotoFlagDet U_PStotal F378_PStotal F395_PStotal F410_PStotal F430_PStotal G_PStotal F515_PStotal R_PStotal F660_PStotal I_PStotal F861_PStotal Z_PStotal e_U_PStotal e_F378_PStotal e_F395_PStotal e_F410_PStotal e_F430_PStotal e_G_PStotal e_F515_PStotal e_R_PStotal e_F660_PStotal e_I_PStotal e_F861_PStotal e_Z_PStotal "r - i" "r - J0660" "e(r - i)" "e(r - J0660)"
HYDRA-0060 iDR3.HYDRA-0060.063954 152.886465018018 -30.130772406088372 12.237776 202 2.5391946 12.0 4 16.393456 16.065697 15.856145999999999 15.288054999999998 15.229192000000001 15.619352 14.739486999999999 14.608576000000001 14.370764000000001 14.769373000000002 14.233351 14.777254999999998 0.0066321769999999995 0.00814352 0.010138045 0.0069296407 0.0064888433999999995 0.0034712388 0.0042759026 0.0018889449 0.0025018135 0.00214986 0.0029056708000000002 0.0027200353999999997 -0.16079700000000052 0.2378119999999999 0.002861819500743541 0.00313483390692685
HYDRA-0064 iDR3.HYDRA-0064.062016 158.38400066992676 -30.119863712313258 4.138311 803 3.0814288 12.0 0 14.91669 14.905848 14.856257999999999 14.421229 13.919336 14.294188 13.357973999999999 13.837648000000002 13.204981 13.886510000000001 13.142714499999999 13.686603 0.0034313044 0.0050503607 0.007219463000000001 0.005025629 0.0037317947 0.00191024 0.002425875 0.0013991398 0.0013283833 0.0014986363000000001 0.0019654413 0.0017031835999999998 -0.04886199999999974 0.6326670000000014 0.0020502446048268805 0.001929298932685894
HYDRA-0065 iDR3.HYDRA-0065.000113 159.80640788213552 -31.55671521663631 8.111155499999999 367 3.021871 12.0 0 18.985695 17.02569 15.567127 15.021375 14.936632000000001 15.004675 16.241714 15.367045000000001 14.392603 14.366801 14.164903 14.318399 0.03953034 0.020827798 0.007885431 0.0053221625 0.004842292 0.0029996461 0.01137508 0.0033077515999999996 0.0024649873 0.00221823 0.0031591096999999996 0.0025383097 1.0002440000000004 0.9744420000000016 0.003982683138312984 0.004125213089825039
HYDRA-0070 iDR3.HYDRA-0070.030882 153.92004345854363 -32.289447791726126 2.1262722000000003 276 2.8299532000000003 12.0 0 16.542251999999998 15.723010999999998 15.322674 14.947573 14.730485999999999 15.044329000000001 14.392273000000001 14.704904 14.153776 14.58676 13.960609 14.5225 0.008717836 0.00773628 0.008408924 0.005922815 0.0050032954 0.0028265596000000004 0.0036946025 0.0021368745 0.0018843838 0.0020775145 0.0026610040000000002 0.0025357695 0.11814400000000091 0.5511280000000003 0.002980318628345047 0.0028490586049522903
HYDRA-0072 iDR3.HYDRA-0072.045794 157.97698381611053 -31.519253277060443 4.634316 250 3.0813336 12.0 0 17.609726000000002 17.313705 16.59652 16.573065 15.933544 17.347407999999998 15.523985999999999 15.944227 14.913254 14.774501 14.737129999999999 14.694181 0.016555047 0.020600883 0.019408979 0.018466942 0.012406361999999999 0.012114946000000001 0.008304718 0.004507801 0.003123463 0.0024955284 0.0039683813 0.0029934563 1.169725999999999 1.0309729999999995 0.005152468520118057 0.005484185533693221
HYDRA-0077 iDR3.HYDRA-0077.045029 149.4936364018003 -33.62242639999669 2.2267745 197 2.9464705 12.0 0 17.613579 19.312092 17.010406 23.070889 16.514069 27.727203000000003 23.428677 15.814766 15.3979845 15.505548499999998 15.265120000000001 15.231507999999998 0.013847178 0.07153064 0.021635711000000002 3.0876122 0.013103598999999999 64.758804 3.305501 0.003545638 0.0034037570000000003 0.0032300702000000003 0.0048979274 0.0035832813 0.3092175000000026 0.4167815000000008 0.0047963425986862155 0.004914988356252027
HYDRA-0077 iDR3.HYDRA-0077.084865 150.3833525981921 -33.04326108927795 2.0607584 271 2.7454164 12.0 0 15.262166 14.987922 15.018107999999998 15.205065 15.168662 15.346395999999999 15.041970000000001 15.179598 14.809085000000001 15.124524 15.052025 14.988594 0.0041474504 0.0051319078 0.007420309399999999 0.006743164 0.006265469399999999 0.003002383 0.0050498209999999995 0.0025884358 0.002551199 0.0026570049 0.0043973643 0.0031603232 0.05507400000000118 0.370512999999999 0.003709403581351812 0.003634366000875894
HYDRA-0077 iDR3.HYDRA-0077.089900 150.40672265402168 -32.882131649343144 3.517698 262 3.2283702 12.0 0 16.975707999999997 16.78061 16.139408 16.006474 14.974127 15.513966 16.22694 15.631468 15.383617999999998 16.373688 15.449568 16.936336999999998 0.009656226 0.012625299 0.012982993 0.010394971 0.0057389475 0.0032898295 0.009483648 0.0032410268 0.0033868690000000003 0.005131083 0.00541579 0.010080043 -0.7422200000000014 0.24785000000000146 0.006068959340052233 0.004687764535626682
HYDRA-0086 iDR3.HYDRA-0086.000067 150.5321903609348 -35.67118288690082 3.8824004999999997 169 3.2063479999999998 12.0 0 18.037401000000003 17.870079999999998 18.469313 16.33494 16.087511 15.743719 15.506416 15.114096 15.049876999999999 16.391745 14.830325 17.965252 0.024162577 0.028438852999999997 0.06626808 0.013378451000000001 0.010846688 0.004224119 0.006765478 0.0027017319 0.0031160416999999998 0.005478536700000001 0.004247932 0.024395835 -1.2776490000000003 0.06421900000000136 0.006108495693108452 0.0041242055156862035
HYDRA-0087 iDR3.HYDRA-0087.008304 153.42611752163796 -35.55862460323203 23.940472 468 3.1372662 12.0 0 15.989559 15.72216 15.422051000000002 15.007535999999998 14.915132 14.594852 14.417032999999998 15.396763 14.288587 15.376818 14.02125 16.340416 0.006022446 0.0077750897 0.009258446 0.0066536516 0.006124366500000001 0.0023463095999999998 0.0040407656 0.003061758 0.0023042294000000002 0.0032718991999999996 0.0029726026 0.008443538 0.01994499999999988 1.1081760000000003 0.004481036311560601 0.0038319492661553285
