# RAJ2000 DEJ2000
348.329233 0.002069
348.329233 0.002069
350.013602 0.00232
355.068806 0.002393
358.439524 0.001124
1.810678 0.001505
1.810678 0.001505
42.24835 0.00248
347.12425 2.115454
8.001586 2.069509
37.556396 -2.245086
325.771744 -2.3596
331.97097 -2.365815
337.37725 -2.351219
174.178022 2.441289
181.783932 2.444533
222.986992 4.525266
216.473466 4.487527
37.100571 -0.001083
37.100496 0.004154
37.846506 -0.059009
57.474445 -0.040956
341.00072 -0.001037
11.000921 0.001346
184.581844 -1.629986
323.053642 0.003286
346.64395 0.002021
5.179732 0.001342
40.563812 0.003043
39.000644 -0.000788
41.983428 -0.208893
19.175917 0.055291
332.586147 -0.80954
323.030209 -0.810151
335.477299 -0.968794
0.928643 0.521819
18.270048 0.018582
0.366426 -1.579839
10.310057 1.899081
