# RA_1        DEC_1              Field        ID                       RA_2               DEC_2               FWHM               ISOarea KRON_RADIUS        nDet_magPStotal PhotoFlagDet U_PStotal          F378_PStotal       F395_PStotal       F410_PStotal       F430_PStotal G_PStotal          F515_PStotal       R_PStotal          F660_PStotal       I_PStotal          F861_PStotal       Z_PStotal          e_U_PStotal          e_F378_PStotal       e_F395_PStotal       e_F410_PStotal       e_F430_PStotal       e_G_PStotal          e_F515_PStotal       e_R_PStotal          e_F660_PStotal       e_I_PStotal          e_F861_PStotal       e_Z_PStotal          r_-_i                  r_-_J0660            e(r_-_i)             e(r_-_J0660)          P(GoodPho)         P(BadPho)             GroupID GroupSize Separation        
  148.6191875 -25.70343611111111 HYDRA-0030   iDR3.HYDRA-0030.089068   150.7548262663943  -26.142761472260197 11.561209          2346    3.5050523          12.0            3            19.290461999999998 18.324823000000002 18.331885999999997 18.151161          18.038746    18.103672          17.955698          17.922613000000002 17.599949          18.002789          17.924429999999997 17.945286          0.026154902          0.019770447          0.029049332999999997 0.02215092           0.019944748          0.008356423          0.015265198          0.0068732304         0.006770333000000001 0.00823509           0.015477158999999999 0.012698296000000001 -0.08017599999999803   0.32266400000000317  0.010726509378152064 0.00964773056539066   0.7956271818752988 0.20437281812470118   1       69        7093.179548523253 
  148.6191875 -25.70343611111111 HYDRA-0031   iDR3.HYDRA-0031.028457   151.59250580663203 -26.832557861011033 15.557032000000001 673     3.9627507000000004 12.0            2            18.837626          18.507235          18.44771           18.489653          18.297676    18.214836          17.753954          17.856052          17.49382           17.76484           17.64051           17.598663000000002 0.037129167000000005 0.038867917          0.05689102           0.045958634000000005 0.037304606000000004 0.0132054435         0.025158212000000003 0.010776443          0.0103532355         0.012136025          0.025061607000000003 0.019126512          0.09121199999999874    0.3622319999999988   0.01623005935087343  0.014943935527521164  0.737101312842166  0.262898687157834     1       69        10423.369156704775
  148.6191875 -25.70343611111111 HYDRA-0022   iDR3.HYDRA-0022.001560   152.4140213001734  -25.979788174332253 12.279209          248     4.0582623          12.0            3            18.968636          18.383005          18.760641          18.692146          18.766346    18.670881          18.171684          18.504492000000006 17.39302           18.601685          18.596176          18.446384          0.028071837          0.028533962000000006 0.055588692          0.04744686           0.04811361           0.017229393          0.026484858          0.01481186           0.009421629          0.01989023           0.043654777          0.033788305          -0.09719299999999365   1.1114720000000062   0.02479944447185259  0.017554437891121464  0.8405506341350407 0.15944936586495925   1       69        12335.03278085948 
  148.6191875 -25.70343611111111 HYDRA-0022   iDR3.HYDRA-0022.028695   152.82332262521626 -25.454068208528305 14.669764          86      3.8584511          12.0            2            21.429295          21.313349          21.001127          20.761593          20.816956    19.863737          19.716976000000006 18.924906          18.378288          18.488724          18.312939          18.309023          0.18379799           0.26248717           0.3421546            0.23642808           0.23860002           0.03798948           0.076824345          0.019876594          0.017125877          0.018286109          0.034776095          0.030073293          0.43618199999999874    0.5466179999999987   0.027008531455832933 0.026236894863149587  0.7337112176623355 0.26628878233766456   1       69        13680.4543466989  
  148.6191875 -25.70343611111111 HYDRA-0030   iDR3.HYDRA-0030.018889   149.2705874293189  -27.108523128849306 9.447828           392     4.628776           12.0            3            19.814342          19.250668          19.184761          19.231384          19.166885    18.905697          18.238434          18.646452          17.97514           18.586918          18.530945000000006 18.478458          0.038206782          0.036635157          0.05250509           0.04779819           0.043984007          0.013814898          0.018469328          0.01101298           0.008564239          0.01273353           0.025179526          0.01987025           0.05953399999999931    0.6713120000000004   0.01683533530231281  0.013951054373398485  0.8214287364502755 0.17857126354972447   1       69        5477.015313520501  
  148.6191875 -25.70343611111111 HYDRA-0030   iDR3.HYDRA-0030.084040   150.7346337031606  -26.149578872464772 172.61073000000005 6834    3.4958677          12.0            3            18.989735          18.752728          18.706425          18.794834          18.759968    18.827625          18.737738          18.92583           18.087055          19.208942          19.235271          19.245258          0.021134363          0.026182653          0.03758006           0.034130238          0.032175496          0.012930101          0.025227332          0.013172818          0.009075876          0.020448674          0.044902224          0.03799887           -0.28311199999999914   0.8387750000000018   0.024324296545211743 0.015996707762177192  0.9040086593423338 0.0959913406576662    1       69        7034.832772787015 
  148.6191875 -25.70343611111111 HYDRA-0030   iDR3.HYDRA-0030.084598   150.7477842615568  -26.146234907142137 68.23728           1677    3.7198768          12.0            3            18.506786          18.136662          18.396294          18.49543           18.46568     18.495079          18.682127          18.42225           17.589911999999998 18.677406          19.122768          18.681885          0.015293609          0.017578747          0.030330017          0.027755786          0.026291719          0.010516919          0.024282385          0.0093805            0.0067310766         0.013456861          0.040763184          0.02333921           -0.25515600000000305   0.832338             0.016403685202518396 0.011545612692493525  0.9335642047132301 0.06643579528676989   1       69        7073.663763050652 
  148.6191875 -25.70343611111111 HYDRA-0030   iDR3.HYDRA-0030.085133   150.71018136760384 -26.146164914716174 93.112175          2212    4.443758           12.0            3            20.155184          19.626451          19.79454           19.746727          19.659832    19.620274          19.479416          18.950829          18.434654          18.691502          18.531994          18.471592          0.050842427          0.04927357           0.085949376          0.06988851           0.06297775           0.022126006          0.0430656            0.01340582           0.011341084          0.013609988          0.024957128          0.01955763           0.259326999999999      0.5161750000000005   0.019103606550401525 0.017559504439688952  0.7905684079152455 0.20943159208475454   1       69        6955.050286313014 
  148.6191875 -25.70343611111111 HYDRA-0030   iDR3.HYDRA-0030.087475   150.75114026709068 -26.1484608569593   98.54006           2243    3.8075576          12.0            3            18.5383            18.317806          18.381275          18.403236          18.372307    18.616291          18.728168          18.66759           18.183937          18.901035          18.852444          19.02715           0.01562412           0.01970177           0.030060682          0.026126942          0.024737956          0.011333972          0.025083916          0.011041718          0.009651812          0.016022986          0.03253187           0.03146711           -0.23344499999999968   0.48365300000000033  0.019459075434041566 0.014665504126175411  0.8819010139012595 0.1180989860987405    1       69        7085.993785039442 
  148.6191875 -25.70343611111111 HYDRA-0031   iDR3.HYDRA-0031.018664   150.9377314328984  -27.017622180579032 20.477646          627     3.905259           12.0            3            18.989922          18.839605          18.837893          18.84804           18.843895    18.827717          18.633522          18.699518          18.3209            18.710947          18.692669          18.650894          0.03992688           0.047708157          0.07383924           0.060443665999999986 0.056168582          0.019516421000000003 0.04739381           0.018478             0.017298493999999998 0.024678327000000003 0.059666906          0.046396956          -0.01142899999999969   0.37861799999999945  0.03082947141160434  0.025311546350786945  0.858857846434302  0.14114215356569804   1       69        8849.314702314321 
