# RA_1     DEC_1    Field          ID                         RA_2                 DEC_2                 FWHM                 ISOarea   KRON_RADIUS          nDet_magPStotal   PhotoFlagDet   U_PStotal            F378_PStotal         F395_PStotal         F410_PStotal         F430_PStotal         G_PStotal            F515_PStotal         R_PStotal            F660_PStotal         I_PStotal            F861_PStotal         Z_PStotal            e_U_PStotal            e_F378_PStotal         e_F395_PStotal         e_F410_PStotal         e_F430_PStotal         e_G_PStotal            e_F515_PStotal         e_R_PStotal             e_F660_PStotal          e_I_PStotal             e_F861_PStotal         e_Z_PStotal            r_-_i                    r_-_J0660              e(r_-_i)               e(r_-_J0660)            P(GoodPho)           P(BadPho)              GroupID   GroupSize   Separation          
  157.76   -35.42   HYDRA-0105     iDR3.HYDRA-0105.055887     154.755114203685     -37.671990131399845   10.586653            2258      3.7422078            12.0              2              16.913635            16.393394            16.269527            16.275063            16.153889000000003   16.125711            15.898125            15.868675            15.463541000000001   15.816572            15.719395            15.665148            0.010505583            0.011218128            0.01526821             0.012771191000000001   0.0115836775           0.004873042            0.008211939            0.003800355             0.003654981             0.003837454             0.006789086            0.0049400227           0.0521029999999989       0.40513399999999855    0.005400810247374092   0.0052727207622238065   0.5168438852184842   0.4831561147815158     1         240         11883.64494496243   
  157.76   -35.42   HYDRA-D-0001   iDR3.HYDRA-D-0001.025473   158.50313124725002   -35.282577409727544   19.926043            12568     4.085775             12.0              3              18.663725            18.319021            17.975723000000002   17.850101000000002   17.761293            17.609941            17.430775            17.06383             16.69033             16.781536            16.609358            16.500760999999997   0.014750958            0.018165145            0.023034368            0.017737098            0.01603435             0.00542478             0.010610952            0.0037069909999999998   0.0036422394            0.0035519153            0.006055161999999999   0.0042644893           0.28229400000000027      0.37349999999999994    0.005133993043670306   0.005196892352261432    0.5711343263619344   0.4288656736380656     1         240         2237.3944801697485  
  157.76   -35.42   HYDRA-D-0003   iDR3.HYDRA-D-0003.119555   158.5031268315751    -35.282679860025794   20.033878            9963      2.4767732999999996   12.0              3              18.625998000000003   18.252499            18.036013            17.83655             17.69073             17.521114            17.374353            16.997329999999998   16.654757            16.72361             16.594261            16.481829            0.014958688999999999   0.017644944            0.023366313            0.018972699            0.01518017             0.0053314487           0.010417936            0.0037617325            0.0036112412            0.0036287745            0.006174036999999999   0.004555191            0.2737199999999973       0.342572999999998      0.005226723234819929   0.005214565600904229    0.5833727223236431   0.4166272776763569     1         240         2237.2989656504087  
  157.76   -35.42   HYDRA-0064     iDR3.HYDRA-0064.011102     159.2685358307238    -31.365924306516472   15.179735999999998   1294      4.037864             12.0              3              18.440254            17.919415            17.679226            17.57285             17.474428            17.378470999999998   17.177616            17.01                16.701395            16.823326            16.615242000000002   16.649078            0.023601541            0.026460658999999997   0.03713887             0.02827644             0.024750376            0.00859153             0.016802585            0.00652099              0.0071848687            0.0069194054            0.0127837295           0.009782192            0.186674                 0.308605               0.009507969376772792   0.009702868071675494    0.5830537604783208   0.41694623952167914    1         240         15282.122393265492  
  157.76   -35.42   HYDRA-0065     iDR3.HYDRA-0065.001501     159.81015556007074   -31.526146869777037   10.940097999999999   483       4.475148             12.0              2              19.277004            18.48874             18.565481            18.404423            18.329128            18.32996             17.978733            17.937225            17.644032            17.776756            17.777693            17.704995999999998   0.048976224000000006   0.052982625            0.045157987999999996   0.03578781             0.031862497000000004   0.016680239            0.030490147000000002   0.013418754             0.013297528000000001    0.015455192             0.02984968             0.022287407999999998   0.16046900000000264      0.29319300000000226    0.020467679855552263   0.01889145864731731     0.7695376513632268   0.23046234863677315    1         240         15309.074086029132  
  157.76   -35.42   HYDRA-0074     iDR3.HYDRA-0074.068497     160.36546852844964   -31.780316177810054   10.664061            7564      5.0743089999999995   12.0              3              18.314713            17.764416            17.56885             17.437542            17.29575             17.149082            16.994806            16.653172            16.145287            16.418083            16.275593            16.187443            0.01954841             0.021217661000000002   0.02805369             0.02312119             0.02097494             0.008113985            0.014516474            0.0054085017            0.005015375             0.0051231612            0.008576666            0.006049662            0.2350890000000021       0.5078850000000017     0.007449743037185131   0.007376033963420172    0.5366045535131159   0.4633954464868842     1         240         15253.514173394575  
  157.76   -35.42   HYDRA-0087     iDR3.HYDRA-0087.041481     153.24854544281163   -34.93516325847801    24.816542000000002   576       5.4009675999999995   12.0              3              19.321156            18.590515            18.720295            18.702116            18.535213            18.221657            17.538929            17.94538             17.061066            17.877095999999998   17.820482000000002   17.748978            0.048732564000000006   0.043961726            0.070273265            0.062793374            0.052951023            0.01774921             0.02145239             0.0132839745            0.010110124             0.01629407              0.034714505            0.025127761000000002   0.06828400000000201      0.8843139999999998     0.02102286126295729    0.0166936690338591      0.7483857135179887   0.25161428648201134    1         240         13388.11390193188   
  157.76   -35.42   HYDRA-0088     iDR3.HYDRA-0088.061824     153.42462857062154   -34.85508456238106    20.676476            5233      4.216737             12.0              3              18.402681            17.928894            17.833866            17.726001999999998   17.54879             17.354969            17.086707999999998   16.927647            16.534931            16.75143             16.517437            16.503883            0.020782336999999998   0.021815442            0.029386307999999996   0.024854332000000003   0.021679401            0.008385116            0.014288133            0.0060475958            0.00585002              0.0060208593000000005   0.010251383000000001   0.0073121777           0.17621700000000118      0.39271600000000007    0.008533707381353905   0.00841404474438885     0.5595302025657177   0.4404697974342823     1         240         12923.124114115106  
  157.76   -35.42   HYDRA-0089     iDR3.HYDRA-0089.036369     155.35096433273344   -35.08289663945455    8.773305             480       4.3122787            12.0              3              19.088135            18.653229999999997   18.562738            18.441042000000003   18.324036            18.226013000000002   18.03226             17.772142000000002   17.517506            17.70802             17.639975            17.54382             0.030816866000000002   0.034332197            0.051881947000000005   0.04002788             0.035472523            0.013714365            0.024514444            0.011278763             0.009619194000000001    0.011107438999999998    0.019558232            0.01460881             0.06412200000000112      0.2546360000000014     0.01582989879780948    0.014823609142843893    0.7560744688997161   0.24392553110028395    1         240         7185.23057270245    
  157.76   -35.42   HYDRA-0091     iDR3.HYDRA-0091.000621     158.97554153607146   -35.69880939982497    12.873403999999999   645       3.736208             12.0              2              19.189860999999997   18.922801999999997   18.352915            17.9262              17.777103            17.475908            17.397451            17.190487            16.938242000000002   17.096684            17.220837            16.944712            0.035752628            0.04546918             0.05020209             0.034273606            0.03141161             0.010551858999999999   0.019935926            0.0075258357            0.0080403425            0.007758053000000001    0.016639723999999998   0.010441189            0.09380300000000119      0.2522449999999985     0.010808588683736813   0.0110129610232989      0.7447147365501996   0.25528526344980046    1         240         3698.6721107311155    
