# RA_1       DEC_1              Field      ID                     RA_2               DEC_2               FWHM               ISOarea KRON_RADIUS        nDet_magPStotal PhotoFlagDet U_PStotal          F378_PStotal       F395_PStotal       F410_PStotal       F430_PStotal       G_PStotal          F515_PStotal       R_PStotal          F660_PStotal       I_PStotal          F861_PStotal       Z_PStotal          e_U_PStotal          e_F378_PStotal       e_F395_PStotal       e_F410_PStotal       e_F430_PStotal      e_G_PStotal          e_F515_PStotal       e_R_PStotal           e_F660_PStotal        e_I_PStotal           e_F861_PStotal       e_Z_PStotal          r_-_i                 r_-_J0660           e(r_-_i)             e(r_-_J0660)         P(GoodPho)         P(BadPho)              GroupID GroupSize Separation        
  149.786025 -34.22521944444445 HYDRA-0050 iDR3.HYDRA-0050.017633 151.64125084856218 -29.93654830008841  17.718626          1916    3.6475824999999995 12.0            3            16.590374          16.183447          16.318886          16.32592           16.270364999999998 16.178692          15.900606          16.052242          15.149235000000001 16.072048000000002 15.991432999999999 15.887707          0.007659523299999999 0.009163867          0.0140194            0.0120327035         0.0111163305        0.0045334324         0.0077336845         0.0040319734000000005 0.0029561966999999997 0.0043132943          0.007517574          0.0051596016         -0.019806000000002655 0.9030069999999988  0.005904347315048468 0.004999590825997508 0.5474232360135818 0.4525767639864183     1       95        16442.62038161615 
  149.786025 -34.22521944444445 HYDRA-0059 iDR3.HYDRA-0059.010652 150.96798139179825 -31.41348352964001  9.676150999999999  2570    4.2175117          12.0            3            18.180756          17.643154          17.635654000000002 17.504166          17.367239          17.29411           17.129967          16.940520000000003 16.323079999999997 16.835388000000002 16.794485          16.65205           0.018857718          0.019548409          0.028377107999999998 0.023641647999999998 0.02181485          0.008694798          0.015568437          0.006297304300000001  0.0053525427          0.0065426980000000004 0.011599807          0.008092761          0.10513200000000111   0.6174400000000055  0.009080910668319698 0.008264729566181931 0.6487543589476752 0.3512456410523248     1       95        10735.029710252442
  149.786025 -34.22521944444445 HYDRA-0059 iDR3.HYDRA-0059.060578 150.20467895584443 -30.544964090090623 10.750047          1202    3.8625267          12.0            2            18.734226          18.105895999999998 18.103514          17.96421           17.844658          17.696957          17.494034          17.26389           16.866354          17.065796          16.966782000000002 16.851059          0.02696306           0.026082777999999997 0.03855852           0.031014762999999997 0.028824113         0.010769033999999999 0.01900517           0.0075459722          0.007128799999999999  0.007513801600000001  0.012943815          0.009234541          0.1980940000000011    0.3975359999999988  0.010648892474212301 0.010380822986795065 0.6494474100661288 0.3505525899338712     1       95        13309.86491382937 
  149.786025 -34.22521944444445 HYDRA-0087 iDR3.HYDRA-0087.041481 153.24854544281163 -34.93516325847801  24.816542000000002 576     5.4009675999999995 12.0            3            19.321156          18.590515          18.720295          18.702116          18.535213          18.221657          17.538929          17.94538           17.061066          17.877095999999998 17.820482000000002 17.748978          0.048732564000000006 0.043961726          0.070273265          0.062793374          0.052951023         0.01774921           0.02145239           0.0132839745          0.010110124           0.01629407            0.034714505          0.025127761000000002 0.06828400000000201   0.8843139999999998  0.02102286126295729  0.0166936690338591   0.7483857135179887 0.25161428648201134    1       95        10575.710904639662
  149.786025 -34.22521944444445 HYDRA-0089 iDR3.HYDRA-0089.036369 155.35096433273344 -35.08289663945455  8.773305           480     4.3122787          12.0            3            19.088135          18.653229999999997 18.562738          18.441042000000003 18.324036          18.226013000000002 18.03226           17.772142000000002 17.517506          17.70802           17.639975          17.54382           0.030816866000000002 0.034332197          0.051881947000000005 0.04002788           0.035472523         0.013714365          0.024514444          0.011278763           0.009619194000000001  0.011107438999999998  0.019558232          0.01460881           0.06412200000000112   0.2546360000000014  0.01582989879780948  0.014823609142843893 0.7560744688997161 0.24392553110028395    1       95        16764.119351551537
  149.786025 -34.22521944444445 HYDRA-0097 iDR3.HYDRA-0097.062205 155.19358538472298 -35.96420876959037  11.260074000000001 665     3.9207997000000003 12.0            2            18.470985          17.81493           17.746243          17.696217          17.484924          17.318148          17.133779999999998 16.851719          16.433529          16.647728          16.468037          16.430769          0.02374234           0.02724356           0.038682055          0.030539839          0.029151762         0.010119765          0.018107545          0.006890332           0.0067004733999999995 0.006537273499999999  0.011978863999999999 0.008200019000000001 0.20399099999999848   0.4181899999999992  0.00949803242171905  0.009611088328297246 0.5622992304674754 0.4377007695325245     1       95        17111.016133073237
  149.786025 -34.22521944444445 HYDRA-0059 iDR3.HYDRA-0059.001548 150.02706761775997 -31.543395702491217 56.563435          2689    4.069444           12.0            3            19.924294          19.792187          19.51626           19.446192          19.408148          19.041695          18.888721          18.457228          18.030045          18.105597          17.954872          17.852741          0.059952777          0.079925455          0.101260394          0.08794386           0.08607689999999997 0.024591802000000003 0.046461824000000006 0.015231418           0.013694532           0.014605338999999997  0.025652474          0.01906581           0.35163100000000114   0.4271829999999994  0.021102417434873306 0.020482585310203104 0.7254394342561117 0.2745605657438884     1       95        9682.016160999916 
  149.786025 -34.22521944444445 HYDRA-0059 iDR3.HYDRA-0059.036082 150.77554625979818 -30.94597255352873  9.168126           31      3.818736           12.0            3            19.217594          18.47083           18.813034          18.850018          18.841496          18.570766          17.96627           18.364437          17.239738          18.478415          18.367832          18.296612          0.037698135          0.033147816000000004 0.06299842           0.05623089           0.056170605         0.018049754          0.025247728          0.014588468           0.008795782           0.018933618           0.03490915           0.026906073          -0.11397799999999947  1.1246989999999997  0.023901993413875503 0.017034939964042962 0.8052076826986233 0.19479231730137672    1       95        12180.660558576667
  149.786025 -34.22521944444445 HYDRA-0060 iDR3.HYDRA-0060.062065 152.71002820639652 -30.42343544747633  28.098486          228     4.584921400000002  12.0            3            19.84498           19.370005          19.191097          18.999884          19.050964          18.845528          18.564077          18.39119           17.893747          18.175087          18.05811           17.921188          0.07603122           0.07708189           0.09609616           0.07868805           0.07859029599999999 0.027443938          0.043166995          0.016848853           0.017666323           0.016244845           0.030677738          0.02091419           0.21610300000000038   0.4974430000000005  0.023404675526262568 0.02441275928189884  0.7575562075053809 0.2424437924946191     1       95        16320.95711886828  
  149.786025 -34.22521944444445 HYDRA-0069 iDR3.HYDRA-0069.028982 153.0140154103735  -32.46855221932521  11.14143           697     3.8655453          12.0            2            19.481224          18.873533          18.635717          18.698185          18.510336          18.327866          17.678703          18.06869           17.437739999999998 17.96879           17.918541          17.895794          0.049525782          0.04975149           0.06620559           0.05684774           0.0476531           0.014241567          0.021365888          0.011842933           0.009777774           0.01455724            0.029706351          0.02434967           0.09990000000000165   0.6309500000000021  0.018766147672340455 0.015357731812919674 0.764740207128271  0.23525979287172902    1       95        11584.64486171829 
