# RA_1        DEC_1       Field          ID                         RA_2                 DEC_2                 FWHM                 ISOarea   KRON_RADIUS          nDet_magPStotal   PhotoFlagDet   U_PStotal            F378_PStotal         F395_PStotal         F410_PStotal         F430_PStotal         G_PStotal            F515_PStotal         R_PStotal            F660_PStotal         I_PStotal            F861_PStotal         Z_PStotal            e_U_PStotal            e_F378_PStotal         e_F395_PStotal         e_F410_PStotal         e_F430_PStotal         e_G_PStotal             e_F515_PStotal          e_R_PStotal             e_F660_PStotal          e_I_PStotal             e_F861_PStotal          e_Z_PStotal             r_-_i                    r_-_J0660             e(r_-_i)                e(r_-_J0660)           GroupID   GroupSize   Separation          
  54.621179   -35.45074   SPLUS-s26s31   iDR3.SPLUS-s26s31.032533   49.21108348383686    -33.30109956831036    9.383051             851       4.658939             12.0              2              18.658262            18.021214999999998   18.23265             18.151138            18.032894            17.969303            17.71141             17.635729            17.10379             17.62238             17.606476            17.514985999999997   0.023570154            0.0251581              0.047202237            0.038376343            0.035900857            0.012783589             0.02193756              0.010182366             0.008048968             0.011249551000000002    0.022801902000000002    0.01649884              0.01334900000000161      0.5319390000000013    0.015173429904262155    0.01297946313307989    1         247         17836.849502468012  
  54.621179   -35.45074   SPLUS-s26s32   iDR3.SPLUS-s26s32.032241   49.21104988541157    -33.301067522085425   8.529177             640       4.629711599999999    12.0              2              18.676437            17.99041             18.204037            18.221651            18.121239000000003   17.999584            17.771233            17.689266            17.106285            17.66677             17.643154            17.565918            0.036836557            0.037243135            0.05836876             0.055645682            0.04704674             0.016625036             0.04936601              0.010929468000000001    0.008614217             0.011989663000000001    0.022572018             0.016789224             0.022496000000000294     0.5829810000000002    0.016223602855611113    0.013916105967048148   1         247         17836.99216744791   
  54.621179   -35.45074   SPLUS-s26s40   iDR3.SPLUS-s26s40.040799   62.98927341346487    -32.90926393688288    51.666779999999996   1303      3.8537939            12.0              3              18.350166            17.91809             18.072062            17.98224             17.930279000000002   17.976446            17.959707            17.740822            16.965904000000002   17.77032             17.713467            17.629580999999998   0.021327391            0.025244297000000002   0.038301624            0.033596486            0.03021473             0.012648595             0.025115897999999998    0.010420063             0.007981768             0.013527906000000001    0.02788446              0.021138312000000003    -0.029498000000000246    0.7749179999999996    0.017075770953863402    0.013125788865047045   1         247         26537.06254277174   
  54.621179   -35.45074   SPLUS-s26s40   iDR3.SPLUS-s26s40.044461   62.996541848110105   -32.90247595803799    42.905945            720       3.8762492999999996   12.0              3              18.235254            17.827270000000002   18.020364999999998   17.965353            17.90178             17.864588            17.834463            17.342392            16.222507            17.465335999999997   17.417920000000002   17.248445999999998   0.0199578              0.023965286000000002   0.037111357000000005   0.033265587            0.02971076             0.011895726             0.023330622999999998    0.008338232             0.005455883000000001    0.010971234             0.022191823             0.015620966000000002    -0.12294399999999683     1.119885              0.013780206397894772    0.009964575866313278   1         247         26566.709170145983  
  54.621179   -35.45074   SPLUS-s26s40   iDR3.SPLUS-s26s40.044466   63.00296609900155    -32.89680208521691    20.893888            251       3.8782413            12.0              3              17.077023999999998   16.76091             16.863768            16.695951            16.746086            16.7711              16.759367            16.5788              16.028606            16.57309             16.530918            16.416023000000003   0.010688898            0.013485501            0.019145856            0.016156739            0.015498261999999999   0.0067400755000000005   0.012925141000000001    0.005580379             0.004955437             0.0062545384            0.0117195025            0.008420341             0.005710000000000548     0.5501940000000012    0.008382116700494902    0.007463041313339355   1         247         26592.471348057734  
  54.621179   -35.45074   SPLUS-s27s35   iDR3.SPLUS-s27s35.023474   56.58711031310764    -34.950360964701765   32.088203            732       3.8316052000000003   12.0              3              19.649810000000002   19.159988000000002   18.859245            18.741756            18.663135999999998   18.454891            18.29158             17.887527            17.452976            17.616495            17.349314            17.321373            0.041729134            0.046367012            0.058258288            0.04750756             0.042108934            0.015684562             0.027691242999999997    0.010729596999999999    0.010444382             0.01053911              0.019899946             0.013611686999999999    0.27103199999999816      0.434550999999999     0.01503985011143758     0.014973622378847844   1         247         6057.103679584885   
  54.621179   -35.45074   SPLUS-s27s35   iDR3.SPLUS-s27s35.023759   56.57186743413093    -34.93782079316491    27.302716999999998   453       3.8572924            12.0              3              19.323               18.800062            18.552084            18.32164             18.255484            17.983207999999998   17.872826            17.370731            17.01585             17.047947            16.785232999999998   16.75411             0.033501968            0.036618613            0.04736871             0.036074623            0.0323752              0.011871588             0.021507508999999998    0.008002137             0.008233770999999999    0.007448228             0.013470336999999999    0.009125248             0.3227839999999986       0.3548809999999989    0.010932076513945236    0.011481688963180024   1         247         6028.404497772834   
  54.621179   -35.45074   SPLUS-s27s35   iDR3.SPLUS-s27s35.025385   55.38460541024991    -34.89109788777535    8.688748             28        3.8659334000000003   12.0              3              18.03055             17.546045            17.792402            17.776120000000002   17.723057            17.703678            17.519392            17.322823            16.263907999999997   17.389210000000002   17.209257            17.185577            0.01565395             0.017785981            0.029844342000000003   0.025915217            0.02354323             0.010155515             0.017588679             0.007867476             0.0056419980000000005   0.009232566999999999    0.018256366             0.012507358             -0.06638700000000242     1.0589150000000025    0.012130023578710182    0.009681390398211406   1         247         3017.6336482381216  
  54.621179   -35.45074   SPLUS-s27s35   iDR3.SPLUS-s27s35.029179   55.38562960618687    -34.88861116743838    33.94288             7228      4.161980600000001    12.0              3              18.44693             17.955576            17.793056            17.583141            17.546339            17.443302            17.353773            17.004482            16.701176            16.843254            16.630924            16.655201            0.019740366999999998   0.022259401            0.029813914            0.023157896            0.021259721000000002   0.008808952             0.016034683             0.0066246614            0.007039579             0.0066698077000000005   0.012300956000000002    0.008629608             0.1612279999999977       0.3033059999999992    0.009400663456353986    0.009666530461437079   1         247         3025.883354254942   
  54.621179   -35.45074   SPLUS-s27s38   iDR3.SPLUS-s27s38.027035   61.17143615831319    -34.96550088599031    8.148047             1499      5.6399317            12.0              3              18.516548            17.96022             17.925392000000002   17.972520000000003   17.920366            17.829542            17.371494000000002   17.684314999999998   16.946266            17.691545            17.721447            17.576629999999998   0.022680415            0.025492629            0.037048947            0.035207447            0.03129554             0.011541647             0.018225001             0.009561248             0.0075153484999999996   0.011115950500000001    0.021653261             0.016640496             -0.0072300000000034      0.7380489999999966    0.014662258312959647    0.012161329137637721   1         247         19342.51497909772   
