# "Unnamed: 0" Field ID RA DEC FWHM ISOarea KRON_RADIUS nDet_magPStotal PhotoFlagDet U_PStotal F378_PStotal F395_PStotal F410_PStotal F430_PStotal G_PStotal F515_PStotal R_PStotal F660_PStotal I_PStotal F861_PStotal Z_PStotal e_U_PStotal e_F378_PStotal e_F395_PStotal e_F410_PStotal e_F430_PStotal e_G_PStotal e_F515_PStotal e_R_PStotal e_F660_PStotal e_I_PStotal e_F861_PStotal e_Z_PStotal "r - i" "r - J0660" "e(r - i)" "e(r - J0660)" "Unnamed: 0.1"
954 HYDRA-D-0001 iDR3.HYDRA-D-0001.065510 157.96713209517503 -34.853619773852564 18.385289999999998 26688 3.6483607000000005 12.0 3 18.999676 18.393696 18.382206 17.931164000000003 17.652334 16.831423 16.287369 15.771395000000002 15.149722 15.208897 14.894658999999999 14.722282 0.019107196 0.01950361 0.031827644 0.018585498 0.014735135 0.0035354882 0.0053984975 0.0019168528 0.0016899178 0.0015457178 0.0023083739999999998 0.0015461957999999998 0.5624980000000015 0.6216730000000013 0.002462431354191357 0.002555415196719445 ""
6859 HYDRA-D-0004 iDR3.HYDRA-D-0004.005086 157.07444157031642 -36.692620070834224 11.86844 872 3.3559367999999994 12.0 3 15.062195000000001 14.4423685 14.230062 13.929382 13.999728 14.783992999999999 13.785982 15.520494 14.969072 14.994013 14.384056 15.098643 0.0025891487 0.0027034688 0.003420572 0.0025599175 0.0024850524 0.0016545934 0.0019714613 0.0021500732000000002 0.0020764456 0.0018226461999999999 0.0022688718 0.0025339476 0.5264809999999986 0.5514219999999987 0.0028186617277943587 0.002989053545040236 ""
6904 HYDRA-D-0004 iDR3.HYDRA-D-0004.006960 156.53658586034737 -36.696120784013466 8.976546 3260 2.753578 12.0 7 15.621178 15.400757 14.884056 13.991419 13.482757999999999 12.581213 12.396154 15.528545000000001 13.471279000000001 14.204281 10.946203 14.476420000000001 0.00339884 0.00430248 0.0047068014 0.0026244365 0.0019395859 0.0005916363 0.0010273266 0.0021583799 0.001026354 0.0012372934 0.00044627187999999994 0.0018045933999999999 1.3242640000000012 2.0572660000000003 0.002487870324274875 0.0023899804028568957 ""
15948 HYDRA-0014 iDR3.HYDRA-0014.060867 156.13095311674533 -23.552663995169148 10.048003999999999 6779 3.6523256 12.0 2 18.902206 18.292492000000003 18.02199 17.835570999999998 17.540573000000002 17.039260000000002 16.714182 15.943798000000001 15.193451999999999 15.442704 15.110384 14.953273999999999 0.028425904 0.029203313999999998 0.037380147999999995 0.029499462 0.024294503 0.007659730500000001 0.012459728 0.003805036 0.0030739153999999997 0.0030983078999999997 0.0045968257 0.0030744046000000004 0.5010940000000002 0.7503460000000022 0.004906914591115114 0.004891549329982594 ""
55049 HYDRA-0040 iDR3.HYDRA-0040.016376 152.12484178828666 -28.504100027410804 9.83592 208 3.0808418 12.0 2 17.22995 16.923817 16.699394 16.354979 16.244001 16.314201 15.750548 15.925914 15.411386499999999 16.963518 15.156239999999999 19.554634 0.007991594 0.009676245 0.015327451 0.009025601 0.007978655999999999 0.0036201288 0.0058047213 0.00273831 0.002446075 0.005381718299999999 0.0034908991999999996 0.07296699999999999 -1.037604 0.5145275000000016 0.006038313797464892 0.003671733182262159 ""
89211 HYDRA-0059 iDR3.HYDRA-0059.004261 150.02430652185146 -31.553009436144805 10.009864 8699 3.4326913 12.0 3 18.613277 18.111956 17.795813 17.459974 17.2506 16.78217 16.519007000000002 15.792603 15.25424 15.290610000000001 15.002754999999999 14.830791 0.024477888 0.025649527000000002 0.03126716 0.023324436 0.020659784 0.0067503224 0.011403729 0.003550534 0.003191177 0.0029418421999999997 0.004344152800000001 0.0028880103000000004 0.5019929999999988 0.5383630000000004 0.004610935611658098 0.004773877075342954 ""
93691 HYDRA-0060 iDR3.HYDRA-0060.063954 152.886465018018 -30.130772406088372 12.237776 202 2.5391946 12.0 4 16.393456 16.065697 15.856145999999999 15.288054999999998 15.229192000000001 15.619352 14.739486999999999 14.608576000000001 14.370764000000001 14.769373000000002 14.233351 14.777254999999998 0.0066321769999999995 0.00814352 0.010138045 0.0069296407 0.0064888433999999995 0.0034712388 0.0042759026 0.0018889449 0.0025018135 0.00214986 0.0029056708000000002 0.0027200353999999997 -0.16079700000000052 0.2378119999999999 0.002861819500743541 0.00313483390692685 ""
99569 HYDRA-0063 iDR3.HYDRA-0063.033554 157.17900380093772 -31.038241404184603 9.184647 3505 3.6472945 12.0 3 17.987488 17.455284 17.338783 17.20242 17.05614 16.69424 16.510927 15.856825 15.099407000000001 15.566172 15.366934 15.215922 0.016152307 0.01669153 0.021890435 0.017596273 0.0154750915 0.005758322 0.009774744 0.0032504153999999997 0.0026703411999999998 0.002643646 0.0040350924 0.0026898865999999996 0.2906530000000007 0.7574179999999995 0.004189757086738222 0.004206652160207045 ""
102499 HYDRA-0064 iDR3.HYDRA-0064.059781 158.87828453293233 -30.1103705227713 15.381670999999999 3013 2.8453531 9.0 2 99.0 99.0 99.0 20.988979999999998 19.256227 17.633266 17.042091 15.946743 14.949014000000002 14.836147 13.871073999999998 14.234598000000002 22.072135999999997 21.46394 20.746403 0.46909290000000003 0.09580716 0.0100168325 0.015698325 0.0038268309999999997 0.0030167939 0.002374081 0.002788713 0.0022495615 1.1105959999999993 0.9977289999999979 0.004503431591255939 0.004872954025807981 ""
102854 HYDRA-0065 iDR3.HYDRA-0065.000113 159.80640788213552 -31.55671521663631 8.111155499999999 367 3.021871 12.0 0 18.985695 17.02569 15.567127 15.021375 14.936632000000001 15.004675 16.241714 15.367045000000001 14.392603 14.366801 14.164903 14.318399 0.03953034 0.020827798 0.007885431 0.0053221625 0.004842292 0.0029996461 0.01137508 0.0033077515999999996 0.0024649873 0.00221823 0.0031591096999999996 0.0025383097 1.0002440000000004 0.9744420000000016 0.003982683138312984 0.004125213089825039 ""
