# Field_1         ID                        RA_1                 DEC_1                   FWHM_1               ISOarea_1   KRON_RADIUS_1        nDet_magPStotal_1   PhotoFlagDet_1   U_PStotal_1          F378_PStotal_1       F395_PStotal_1       F410_PStotal_1       F430_PStotal_1       G_PStotal_1          F515_PStotal_1       R_PStotal_1          F660_PStotal_1       I_PStotal_1          F861_PStotal_1       Z_PStotal_1          e_U_PStotal_1        e_F378_PStotal_1      e_F395_PStotal_1     e_F410_PStotal_1      e_F430_PStotal_1      e_G_PStotal_1          e_F515_PStotal_1      e_R_PStotal_1          e_F660_PStotal_1        e_I_PStotal_1          e_F861_PStotal_1       e_Z_PStotal_1          r_-_i_1                 r_-_J0660_1           e(r_-_i)_1             e(r_-_J0660)_1         P(GoodPho)_1         P(BadPho)_1           Field_2         ID_2                        RA_2                 DEC_2                   FWHM_2               ISOarea_2   KRON_RADIUS_2        nDet_magPStotal_2   PhotoFlagDet_2   U_PStotal_2          F378_PStotal_2       F395_PStotal_2       F410_PStotal_2       F430_PStotal_2       G_PStotal_2          F515_PStotal_2       R_PStotal_2          F660_PStotal_2       I_PStotal_2          F861_PStotal_2       Z_PStotal_2          e_U_PStotal_2        e_F378_PStotal_2      e_F395_PStotal_2     e_F410_PStotal_2      e_F430_PStotal_2      e_G_PStotal_2          e_F515_PStotal_2       e_R_PStotal_2          e_F660_PStotal_2        e_I_PStotal_2          e_F861_PStotal_2       e_Z_PStotal_2          r_-_i_2                 r_-_J0660_2           e(r_-_i)_2             e(r_-_J0660)_2         P(GoodPho)_2         P(BadPho)_2          
  HYDRA-0026      iDR3.HYDRA-0026.026456      159.50127714487684   -25.46366543452096      1.7407814999999998   17          3.8829792            11.0                0                22.598501            99.0                 20.955488            20.912432            21.239971            20.16393             20.08671             18.91763             18.176105            18.083035            17.799747            17.753284            0.78078973           21.50965              0.48450637           0.53102696            0.6523413             0.10771328             0.20015176            0.03307687             0.021605872             0.019430006            0.029947411            0.022526909            0.8345950000000002      0.7415249999999993    0.03836149713132865    0.039508138830844516   0.5065485285415613   0.4934514714584387    HYDRA-0026      iDR3.HYDRA-0026.026456      159.50127714487684   -25.46366543452096      1.7407814999999998   17          3.8829792            11.0                0                22.598501            99.0                 20.955488            20.912432            21.239971            20.16393             20.08671             18.91763             18.176105            18.083035            17.799747            17.753284            0.78078973           21.50965              0.48450637           0.53102696            0.6523413             0.10771328             0.20015176             0.03307687             0.021605872             0.019430006            0.029947411            0.022526909            0.8345950000000002      0.7415249999999993    0.03836149713132865    0.039508138830844516   1.0E20               1.0E20               
  HYDRA-0031      iDR3.HYDRA-0031.006959      151.78937012060734   -27.23229838433283      2.0982265            26          4.0734105000000005   11.0                0                21.861097            22.015453            99.0                 21.011349            21.067318            20.110783            20.113518            18.946962            18.02044             18.463596            18.275768            18.322824            0.4547231            0.71247363            20.988245000000006   0.37911007            0.36882922            0.049878143            0.15920985            0.021915704            0.014096285             0.020176776            0.041862156            0.034902               0.4833660000000002      0.9265219999999985    0.029789266046174954   0.026057692388560448   0.6599278468704411   0.34007215312955885   HYDRA-0031      iDR3.HYDRA-0031.006959      151.78937012060734   -27.23229838433283      2.0982265            26          4.0734105000000005   11.0                0                21.861097            22.015453            99.0                 21.011349            21.067318            20.110783            20.113518            18.946962            18.02044             18.463596            18.275768            18.322824            0.4547231            0.71247363            20.988245000000006   0.37911007            0.36882922            0.049878143            0.15920985             0.021915704            0.014096285             0.020176776            0.041862156            0.034902               0.4833660000000002      0.9265219999999985    0.029789266046174954   0.026057692388560448   1.0E20               1.0E20               
  HYDRA-0038      iDR3.HYDRA-0038.039479      162.49424601630975   -26.42789685374301      2.9063761            53          4.1381297            11.0                0                22.027807            21.923943            99.0                 20.435444            20.295738            19.428112            19.350384            18.296997            17.341461            17.76191             17.604702            17.491217000000002   0.37808904           0.5224012             21.259462            0.19049452            0.1640225             0.03059652             0.062359862           0.014586335            0.009416598             0.012462246            0.023610856            0.016818212            0.5350870000000008      0.9555360000000022    0.019185117776462594   0.01736183995508048    0.5799032871821201   0.4200967128178799    HYDRA-0038      iDR3.HYDRA-0038.039479      162.49424601630975   -26.42789685374301      2.9063761            53          4.1381297            11.0                0                22.027807            21.923943            99.0                 20.435444            20.295738            19.428112            19.350384            18.296997            17.341461            17.76191             17.604702            17.491217000000002   0.37808904           0.5224012             21.259462            0.19049452            0.1640225             0.03059652             0.062359862            0.014586335            0.009416598             0.012462246            0.023610856            0.016818212            0.5350870000000008      0.9555360000000022    0.019185117776462594   0.01736183995508048    1.0E20               1.0E20               
  HYDRA-0065      iDR3.HYDRA-0065.052626      159.9503566224231    -30.34593305962691      3.406636             52          4.474311             10.0                3                99.0                 99.0                 22.478872            21.850529            21.123402            20.232162            20.064518            18.973873            18.07838             18.174774            18.024193            17.892601000000006   21.953514            21.119806             1.2825239            0.6233071             0.30181030000000003   0.06314332             0.14234771            0.027678458            0.01758744              0.02072481             0.036360405            0.025944272            0.7990990000000018      0.8954930000000019    0.03457766311932985    0.032793521967171564   0.5768500456750152   0.4231499543249848    HYDRA-0065      iDR3.HYDRA-0065.052626      159.9503566224231    -30.34593305962691      3.406636             52          4.474311             10.0                3                99.0                 99.0                 22.478872            21.850529            21.123402            20.232162            20.064518            18.973873            18.07838             18.174774            18.024193            17.892601000000006   21.953514            21.119806             1.2825239            0.6233071             0.30181030000000003   0.06314332             0.14234771             0.027678458            0.01758744              0.02072481             0.036360405            0.025944272            0.7990990000000018      0.8954930000000019    0.03457766311932985    0.032793521967171564   1.0E20               1.0E20               
  HYDRA-0070      iDR3.HYDRA-0070.055072      153.65027988697312   -31.707874167257977     2.3032727000000004   27          3.7121956            11.0                0                23.749214            99.0                 21.194523            21.834986            21.369984            19.80852             19.963158            18.817854            17.708311            18.23931             18.100813            17.95514             3.778553500000001    21.031599             0.78610516           1.3585382             0.8237808000000001    0.089830115            0.19821993            0.031768166            0.015340788             0.021259625            0.038769636            0.024715692            0.5785440000000008      1.1095430000000022    0.03822548922046886    0.03527826735349258    0.6341698992598004   0.36583010074019956   HYDRA-0070      iDR3.HYDRA-0070.055072      153.65027988697312   -31.707874167257977     2.3032727000000004   27          3.7121956            11.0                0                23.749214            99.0                 21.194523            21.834986            21.369984            19.80852             19.963158            18.817854            17.708311            18.23931             18.100813            17.95514             3.778553500000001    21.031599             0.78610516           1.3585382             0.8237808000000001    0.089830115            0.19821993             0.031768166            0.015340788             0.021259625            0.038769636            0.024715692            0.5785440000000008      1.1095430000000022    0.03822548922046886    0.03527826735349258    1.0E20               1.0E20               
  HYDRA-0095      iDR3.HYDRA-0095.030232      150.52853172463816   -36.506966469988974     2.6795692000000004   32          4.289722             11.0                0                99.0                 21.024067            21.48354             20.148167            21.154856            19.81828             19.651848            18.532366            17.965626            17.959923            17.759975            17.7346              20.859089            0.5899486999999999    1.4331704            0.33049090000000003   0.7252122             0.086655825            0.14693663            0.028905548            0.01805441              0.024986042000000003   0.03674452             0.037541557            0.5724429999999998      0.5667399999999994    0.03820776099179417    0.03408067525194306    0.5824451126483783   0.41755488735162166   HYDRA-0095      iDR3.HYDRA-0095.030232      150.52853172463816   -36.506966469988974     2.6795692000000004   32          4.289722             11.0                0                99.0                 21.024067            21.48354             20.148167            21.154856            19.81828             19.651848            18.532366            17.965626            17.959923            17.759975            17.7346              20.859089            0.5899486999999999    1.4331704            0.33049090000000003   0.7252122             0.086655825            0.14693663             0.028905548            0.01805441              0.024986042000000003   0.03674452             0.037541557            0.5724429999999998      0.5667399999999994    0.03820776099179417    0.03408067525194306    1.0E20               1.0E20               
  HYDRA-0103      iDR3.HYDRA-0103.000015      149.93125134456292   -38.4213742066062       2.9799917            25          3.6627328            11.0                0                20.96225             99.0                 20.632477            20.524136            20.644321            19.964487            19.904806            18.959532            18.434252            18.405182            17.899292000000006   17.927925            0.27505013           21.200336             0.5051901            0.360184              0.36699522            0.06371777             0.15723172            0.025324984            0.020742195             0.023224218            0.03266066             0.028422596            0.5543499999999995      0.5252799999999986    0.03436159362299397    0.03273520227550581    0.5200955008598465   0.4799044991401535    HYDRA-0103      iDR3.HYDRA-0103.000015      149.93125134456292   -38.4213742066062       2.9799917            25          3.6627328            11.0                0                20.96225             99.0                 20.632477            20.524136            20.644321            19.964487            19.904806            18.959532            18.434252            18.405182            17.899292000000006   17.927925            0.27505013           21.200336             0.5051901            0.360184              0.36699522            0.06371777             0.15723172             0.025324984            0.020742195             0.023224218            0.03266066             0.028422596            0.5543499999999995      0.5252799999999986    0.03436159362299397    0.03273520227550581    1.0E20               1.0E20               
  HYDRA-0128      iDR3.HYDRA-0128.002394      163.53289177124338   -41.14836145233572      3.203193             32          3.9354734            11.0                0                23.020811            22.633718            99.0                 21.348518            21.065117            20.162113            20.18312             18.980503            18.400503            18.471626            18.261278            18.19383             0.8829020000000001   0.96653324            21.253942            0.47453243            0.356739              0.06873095             0.13201265            0.023471326            0.017917056             0.02152093             0.0404117              0.031939372            0.5088769999999982      0.5799999999999983    0.03184420782910412    0.029528359925763095   0.6517894303745733   0.3482105696254267    HYDRA-0128      iDR3.HYDRA-0128.002394      163.53289177124338   -41.14836145233572      3.203193             32          3.9354734            11.0                0                23.020811            22.633718            99.0                 21.348518            21.065117            20.162113            20.18312             18.980503            18.400503            18.471626            18.261278            18.19383             0.8829020000000001   0.96653324            21.253942            0.47453243            0.356739              0.06873095             0.13201265             0.023471326            0.017917056             0.02152093             0.0404117              0.031939372            0.5088769999999982      0.5799999999999983    0.03184420782910412    0.029528359925763095   1.0E20               1.0E20               
  HYDRA-0131      iDR3.HYDRA-0131.108404      155.05780419952671   -41.31182202263003      2.170088             32          4.0842853            10.0                0                22.31544             99.0                 99.0                 20.84911             20.859318            20.082516            20.232777            18.859867            17.785507            18.287983            18.057259            18.040464            0.56233484           21.649197             21.119375            0.32520694            0.31782955            0.05966812             0.14773983            0.021721698            0.012309964             0.017321305            0.02936633             0.024913915            0.5718840000000007      1.0743600000000022    0.027782364386535374   0.024967326202148678   0.6036980140795001   0.3963019859204999    HYDRA-0131      iDR3.HYDRA-0131.108404      155.05780419952671   -41.31182202263003      2.170088             32          4.0842853            10.0                0                22.31544             99.0                 99.0                 20.84911             20.859318            20.082516            20.232777            18.859867            17.785507            18.287983            18.057259            18.040464            0.56233484           21.649197             21.119375            0.32520694            0.31782955            0.05966812             0.14773983             0.021721698            0.012309964             0.017321305            0.02936633             0.024913915            0.5718840000000007      1.0743600000000022    0.027782364386535374   0.024967326202148678   1.0E20               1.0E20               
  HYDRA-0132      iDR3.HYDRA-0132.046198      156.64736596784215   -42.030802169690645     2.3524446            53          3.4216073            10.0                2                99.0                 21.801096            21.255054            99.0                 21.209843            19.981827            19.898335            18.70604             17.929602            17.9884              17.704597            17.620338            22.19792             0.57461685            0.5333432            21.275223             0.43285316            0.05055381             0.10687352            0.01858422             0.011309006000000002    0.012451627            0.017695053            0.015756598            0.7176400000000029      0.7764380000000024    0.022369985425912307   0.021754697187422213   0.5187511188409284   0.48124888115907155   HYDRA-0132      iDR3.HYDRA-0132.046198      156.64736596784215   -42.030802169690645     2.3524446            53          3.4216073            10.0                2                99.0                 21.801096            21.255054            99.0                 21.209843            19.981827            19.898335            18.70604             17.929602            17.9884              17.704597            17.620338            22.19792             0.57461685            0.5333432            21.275223             0.43285316            0.05055381             0.10687352             0.01858422             0.011309006000000002    0.012451627            0.017695053            0.015756598            0.7176400000000029      0.7764380000000024    0.022369985425912307   0.021754697187422213   1.0E20               1.0E20               
  HYDRA-0138      iDR3.HYDRA-0138.085114      151.34703571087982   -43.03423717227212      2.410333             32          3.6717064            11.0                2                22.984472            21.675789            99.0                 21.000057            20.073135            19.649282            19.823503            18.607288            16.975279            17.996883            17.817375            17.743732            2.4750798            0.9666873             20.493635            0.73376685            0.293086              0.0839794              0.18082929            0.026539436            0.009422771             0.017776126            0.027559696            0.022169126            0.6104050000000001      1.632009              0.03194264107374298    0.028162568713037114   0.5757093401173903   0.4242906598826097    HYDRA-0138      iDR3.HYDRA-0138.085114      151.34703571087982   -43.03423717227212      2.410333             32          3.6717064            11.0                2                22.984472            21.675789            99.0                 21.000057            20.073135            19.649282            19.823503            18.607288            16.975279            17.996883            17.817375            17.743732            2.4750798            0.9666873             20.493635            0.73376685            0.293086              0.0839794              0.18082929             0.026539436            0.009422771             0.017776126            0.027559696            0.022169126            0.6104050000000001      1.632009              0.03194264107374298    0.028162568713037114   1.0E20               1.0E20               
  HYDRA-0148      iDR3.HYDRA-0148.019178      157.60458317305788   -45.05340500125059      2.9277914000000003   29          3.6856713            11.0                0                20.867575            22.626572            99.0                 21.117226            20.499548            20.047642            19.813707            18.936813            18.456501            18.528671            18.364561            18.38067             0.27640787           1.8791981             20.694536            0.64003146            0.36521623            0.08627901             0.13491032            0.028013889            0.022107307000000003    0.023166526            0.041803304            0.035181038            0.40814200000000156     0.4803120000000014    0.03635197248861466    0.035686285877022425   0.6949964753450617   0.30500352465493824   HYDRA-0148      iDR3.HYDRA-0148.019178      157.60458317305788   -45.05340500125059      2.9277914000000003   29          3.6856713            11.0                0                20.867575            22.626572            99.0                 21.117226            20.499548            20.047642            19.813707            18.936813            18.456501            18.528671            18.364561            18.38067             0.27640787           1.8791981             20.694536            0.64003146            0.36521623            0.08627901             0.13491032             0.028013889            0.022107307000000003    0.023166526            0.041803304            0.035181038            0.40814200000000156     0.4803120000000014    0.03635197248861466    0.035686285877022425   1.0E20               1.0E20               
  STRIPE82-0026   iDR3.STRIPE82-0026.037373   16.580131544341818   0.8064950808416276      2.1304915            30          3.9356856            9.0                 0                24.02212             99.0                 99.0                 22.931957            99.0                 21.079914            20.534725            18.999012            17.832012            18.61412             18.303892            18.445866            2.1025238            22.072166             21.54271             1.3149725             21.737324             0.08254202             0.12977198            0.017824288            0.010430041             0.016812083999999998   0.027976448            0.02472206             0.3848920000000007      1.1670000000000016    0.024502069527490934   0.020651658479856408   0.6378903507745753   0.36210964922542466   STRIPE82-0026   iDR3.STRIPE82-0026.037373   16.580131544341818   0.8064950808416276      2.1304915            30          3.9356856            9.0                 0                24.02212             99.0                 99.0                 22.931957            99.0                 21.079914            20.534725            18.999012            17.832012            18.61412             18.303892            18.445866            2.1025238            22.072166             21.54271             1.3149725             21.737324             0.08254202             0.12977198             0.017824288            0.010430041             0.016812083999999998   0.027976448            0.02472206             0.3848920000000007      1.1670000000000016    0.024502069527490934   0.020651658479856408   1.0E20               1.0E20               
  STRIPE82-0087   iDR3.STRIPE82-0087.009070   300.8428732489282    -1.2907212825143126     2.880075             48          3.6391869            11.0                0                99.0                 21.916887            21.1893              21.644762            20.449928            19.924103            19.939892            18.902334            18.244238            18.449211            18.367758            18.26261             22.285767            0.7607295000000001    0.5589046999999999   0.6168978             0.19499478            0.037277058            0.10136284            0.018175531            0.014380475             0.0166662              0.031361777            0.024774993            0.4531230000000015      0.6580960000000005    0.02465993003988375    0.02317645331705406    0.7061895348240013   0.29381046517599874   STRIPE82-0087   iDR3.STRIPE82-0087.009070   300.8428732489282    -1.2907212825143126     2.880075             48          3.6391869            11.0                0                99.0                 21.916887            21.1893              21.644762            20.449928            19.924103            19.939892            18.902334            18.244238            18.449211            18.367758            18.26261             22.285767            0.7607295000000001    0.5589046999999999   0.6168978             0.19499478            0.037277058            0.10136284             0.018175531            0.014380475             0.0166662              0.031361777            0.024774993            0.4531230000000015      0.6580960000000005    0.02465993003988375    0.02317645331705406    1.0E20               1.0E20               
