# col1 Field_1      ID_1                     RA_1               DEC_1               FWHM_1             ISOarea_1 KRON_RADIUS_1      nDet_magPStotal_1 PhotoFlagDet_1 U_PStotal_1        F378_PStotal_1     F395_PStotal_1     F410_PStotal_1     F430_PStotal_1     G_PStotal_1        F515_PStotal_1     R_PStotal_1        F660_PStotal_1     I_PStotal_1        F861_PStotal_1     Z_PStotal_1        e_U_PStotal_1        e_F378_PStotal_1     e_F395_PStotal_1     e_F410_PStotal_1     e_F430_PStotal_1     e_G_PStotal_1         e_F515_PStotal_1      e_R_PStotal_1         e_F660_PStotal_1      e_I_PStotal_1         e_F861_PStotal_1      e_Z_PStotal_1        r_-_i_1                r_-_J0660_1         e(r_-_i)_1            e(r_-_J0660)_1       Field_2      ID_2                     RA_2               DEC_2               FWHM_2             ISOarea_2 KRON_RADIUS_2      nDet_magPStotal_2 PhotoFlagDet_2 U_PStotal_2        F378_PStotal_2     F395_PStotal_2     F410_PStotal_2     F430_PStotal_2     G_PStotal_2        F515_PStotal_2     R_PStotal_2        F660_PStotal_2     I_PStotal_2        F861_PStotal_2     Z_PStotal_2        e_U_PStotal_2        e_F378_PStotal_2     e_F395_PStotal_2     e_F410_PStotal_2     e_F430_PStotal_2     e_G_PStotal_2         e_F515_PStotal_2      e_R_PStotal_2         e_F660_PStotal_2      e_I_PStotal_2         e_F861_PStotal_2      e_Z_PStotal_2        r_-_i_2                r_-_J0660_2         e(r_-_i)_2            e(r_-_J0660)_2       Separation
  11   SPLUS-s26s40 iDR3.SPLUS-s26s40.044461 62.996541848110105 -32.90247595803799  42.905945          720       3.8762492999999996 12.0              3              18.235254          17.827270000000002 18.020364999999998 17.965353          17.90178           17.864588          17.834463          17.342392          16.222507          17.465335999999997 17.417920000000002 17.248445999999998 0.0199578            0.023965286000000002 0.037111357000000005 0.033265587          0.02971076           0.011895726           0.023330622999999998  0.008338232           0.005455883000000001  0.010971234           0.022191823           0.015620966000000002 -0.12294399999999683   1.119885            0.013780206397894772  0.009964575866313278 SPLUS-s26s40 iDR3.SPLUS-s26s40.044461 62.996541848110105 -32.90247595803799  42.905945          720       3.8762492999999996 12.0              3              18.235254          17.827270000000002 18.020364999999998 17.965353          17.90178           17.864588          17.834463          17.342392          16.222507          17.465335999999997 17.417920000000002 17.248445999999998 0.0199578            0.023965286000000002 0.037111357000000005 0.033265587          0.02971076           0.011895726           0.023330622999999998  0.008338232           0.005455883000000001  0.010971234           0.022191823           0.015620966000000002 -0.12294399999999683   1.119885            0.013780206397894772  0.009964575866313278 0.0       
  12   SPLUS-s26s40 iDR3.SPLUS-s26s40.044466 63.00296609900155  -32.89680208521691  20.893888          251       3.8782413          12.0              3              17.077023999999998 16.76091           16.863768          16.695951          16.746086          16.7711            16.759367          16.5788            16.028606          16.57309           16.530918          16.416023000000003 0.010688898          0.013485501          0.019145856          0.016156739          0.015498261999999999 0.0067400755000000005 0.012925141000000001  0.005580379           0.004955437           0.0062545384          0.0117195025          0.008420341          0.005710000000000548   0.5501940000000012  0.008382116700494902  0.007463041313339355 SPLUS-s26s40 iDR3.SPLUS-s26s40.044466 63.00296609900155  -32.89680208521691  20.893888          251       3.8782413          12.0              3              17.077023999999998 16.76091           16.863768          16.695951          16.746086          16.7711            16.759367          16.5788            16.028606          16.57309           16.530918          16.416023000000003 0.010688898          0.013485501          0.019145856          0.016156739          0.015498261999999999 0.0067400755000000005 0.012925141000000001  0.005580379           0.004955437           0.0062545384          0.0117195025          0.008420341          0.005710000000000548   0.5501940000000012  0.008382116700494902  0.007463041313339355 0.0       
  13   SPLUS-s27s35 iDR3.SPLUS-s27s35.023474 56.58711031310764  -34.950360964701765 32.088203          732       3.8316052000000003 12.0              3              19.649810000000002 19.159988000000002 18.859245          18.741756          18.663135999999998 18.454891          18.29158           17.887527          17.452976          17.616495          17.349314          17.321373          0.041729134          0.046367012          0.058258288          0.04750756           0.042108934          0.015684562           0.027691242999999997  0.010729596999999999  0.010444382           0.01053911            0.019899946           0.013611686999999999 0.27103199999999816    0.434550999999999   0.01503985011143758   0.014973622378847844 SPLUS-s27s35 iDR3.SPLUS-s27s35.023474 56.58711031310764  -34.950360964701765 32.088203          732       3.8316052000000003 12.0              3              19.649810000000002 19.159988000000002 18.859245          18.741756          18.663135999999998 18.454891          18.29158           17.887527          17.452976          17.616495          17.349314          17.321373          0.041729134          0.046367012          0.058258288          0.04750756           0.042108934          0.015684562           0.027691242999999997  0.010729596999999999  0.010444382           0.01053911            0.019899946           0.013611686999999999 0.27103199999999816    0.434550999999999   0.01503985011143758   0.014973622378847844 0.0       
  14   SPLUS-s27s35 iDR3.SPLUS-s27s35.023759 56.57186743413093  -34.93782079316491  27.302716999999998 453       3.8572924          12.0              3              19.323             18.800062          18.552084          18.32164           18.255484          17.983207999999998 17.872826          17.370731          17.01585           17.047947          16.785232999999998 16.75411           0.033501968          0.036618613          0.04736871           0.036074623          0.0323752            0.011871588           0.021507508999999998  0.008002137           0.008233770999999999  0.007448228           0.013470336999999999  0.009125248          0.3227839999999986     0.3548809999999989  0.010932076513945236  0.011481688963180024 SPLUS-s27s35 iDR3.SPLUS-s27s35.023759 56.57186743413093  -34.93782079316491  27.302716999999998 453       3.8572924          12.0              3              19.323             18.800062          18.552084          18.32164           18.255484          17.983207999999998 17.872826          17.370731          17.01585           17.047947          16.785232999999998 16.75411           0.033501968          0.036618613          0.04736871           0.036074623          0.0323752            0.011871588           0.021507508999999998  0.008002137           0.008233770999999999  0.007448228           0.013470336999999999  0.009125248          0.3227839999999986     0.3548809999999989  0.010932076513945236  0.011481688963180024 0.0       
  15   SPLUS-s27s35 iDR3.SPLUS-s27s35.025385 55.38460541024991  -34.89109788777535  8.688748           28        3.8659334000000003 12.0              3              18.03055           17.546045          17.792402          17.776120000000002 17.723057          17.703678          17.519392          17.322823          16.263907999999997 17.389210000000002 17.209257          17.185577          0.01565395           0.017785981          0.029844342000000003 0.025915217          0.02354323           0.010155515           0.017588679           0.007867476           0.0056419980000000005 0.009232566999999999  0.018256366           0.012507358          -0.06638700000000242   1.0589150000000025  0.012130023578710182  0.009681390398211406 SPLUS-s27s35 iDR3.SPLUS-s27s35.025385 55.38460541024991  -34.89109788777535  8.688748           28        3.8659334000000003 12.0              3              18.03055           17.546045          17.792402          17.776120000000002 17.723057          17.703678          17.519392          17.322823          16.263907999999997 17.389210000000002 17.209257          17.185577          0.01565395           0.017785981          0.029844342000000003 0.025915217          0.02354323           0.010155515           0.017588679           0.007867476           0.0056419980000000005 0.009232566999999999  0.018256366           0.012507358          -0.06638700000000242   1.0589150000000025  0.012130023578710182  0.009681390398211406 0.0       
  16   SPLUS-s27s35 iDR3.SPLUS-s27s35.029179 55.38562960618687  -34.88861116743838  33.94288           7228      4.161980600000001  12.0              3              18.44693           17.955576          17.793056          17.583141          17.546339          17.443302          17.353773          17.004482          16.701176          16.843254          16.630924          16.655201          0.019740366999999998 0.022259401          0.029813914          0.023157896          0.021259721000000002 0.008808952           0.016034683           0.0066246614          0.007039579           0.0066698077000000005 0.012300956000000002  0.008629608          0.1612279999999977     0.3033059999999992  0.009400663456353986  0.009666530461437079 SPLUS-s27s35 iDR3.SPLUS-s27s35.029179 55.38562960618687  -34.88861116743838  33.94288           7228      4.161980600000001  12.0              3              18.44693           17.955576          17.793056          17.583141          17.546339          17.443302          17.353773          17.004482          16.701176          16.843254          16.630924          16.655201          0.019740366999999998 0.022259401          0.029813914          0.023157896          0.021259721000000002 0.008808952           0.016034683           0.0066246614          0.007039579           0.0066698077000000005 0.012300956000000002  0.008629608          0.1612279999999977     0.3033059999999992  0.009400663456353986  0.009666530461437079 0.0       
  17   SPLUS-s27s38 iDR3.SPLUS-s27s38.027035 61.17143615831319  -34.96550088599031  8.148047           1499      5.6399317          12.0              3              18.516548          17.96022           17.925392000000002 17.972520000000003 17.920366          17.829542          17.371494000000002 17.684314999999998 16.946266          17.691545          17.721447          17.576629999999998 0.022680415          0.025492629          0.037048947          0.035207447          0.03129554           0.011541647           0.018225001           0.009561248           0.0075153484999999996 0.011115950500000001  0.021653261           0.016640496          -0.0072300000000034    0.7380489999999966  0.014662258312959647  0.012161329137637721 SPLUS-s27s38 iDR3.SPLUS-s27s38.027035 61.17143615831319  -34.96550088599031  8.148047           1499      5.6399317          12.0              3              18.516548          17.96022           17.925392000000002 17.972520000000003 17.920366          17.829542          17.371494000000002 17.684314999999998 16.946266          17.691545          17.721447          17.576629999999998 0.022680415          0.025492629          0.037048947          0.035207447          0.03129554           0.011541647           0.018225001           0.009561248           0.0075153484999999996 0.011115950500000001  0.021653261           0.016640496          -0.0072300000000034    0.7380489999999966  0.014662258312959647  0.012161329137637721 0.0       
  18   SPLUS-s27s38 iDR3.SPLUS-s27s38.044990 61.3910130275791   -34.15513263979405  9.13841            227       3.6691656000000004 12.0              2              18.242363          18.70134           18.537257999999998 17.542279999999998 17.168377          18.747335          16.933857          17.883091          16.655828          16.995926          17.771317          15.91911           0.018466312          0.038264144          0.05229566           0.027289797          0.020293593000000002 0.019960394           0.014477002           0.010688636000000001  0.0064686113          0.0073378309999999995 0.02249029            0.005456374          0.8871649999999995     1.2272630000000007  0.012964979881398081  0.012493593225769107 SPLUS-s27s38 iDR3.SPLUS-s27s38.044990 61.3910130275791   -34.15513263979405  9.13841            227       3.6691656000000004 12.0              2              18.242363          18.70134           18.537257999999998 17.542279999999998 17.168377          18.747335          16.933857          17.883091          16.655828          16.995926          17.771317          15.91911           0.018466312          0.038264144          0.05229566           0.027289797          0.020293593000000002 0.019960394           0.014477002           0.010688636000000001  0.0064686113          0.0073378309999999995 0.02249029            0.005456374          0.8871649999999995     1.2272630000000007  0.012964979881398081  0.012493593225769107 0.0       
  19   SPLUS-s29s31 iDR3.SPLUS-s29s31.021492 50.976431222487754 -37.511985357624205 21.251617          632       3.6971407          12.0              3              19.166042          18.640198          18.654068          18.616243          18.582635999999997 18.4371            18.242813          17.867552          16.832703          17.878629999999998 17.781609          17.655231          0.05431862           0.050913587          0.077369496          0.06895359599999999  0.06332921           0.023008645           0.038236495           0.012742912           0.0076270033999999995 0.013877941000000001  0.026850132000000002  0.017550034          -0.0110779999999977    1.0348490000000012  0.018840887787979235  0.01485102646632062  SPLUS-s29s31 iDR3.SPLUS-s29s31.021492 50.976431222487754 -37.511985357624205 21.251617          632       3.6971407          12.0              3              19.166042          18.640198          18.654068          18.616243          18.582635999999997 18.4371            18.242813          17.867552          16.832703          17.878629999999998 17.781609          17.655231          0.05431862           0.050913587          0.077369496          0.06895359599999999  0.06332921           0.023008645           0.038236495           0.012742912           0.0076270033999999995 0.013877941000000001  0.026850132000000002  0.017550034          -0.0110779999999977    1.0348490000000012  0.018840887787979235  0.01485102646632062  0.0       
  20   SPLUS-s29s32 iDR3.SPLUS-s29s32.040836 51.98875139192221  -37.14833273749018  39.567818          999       4.10465            12.0              3              18.780518          18.317802          18.31242           18.271187          18.098053          18.061562          17.91187           17.716925          17.210635999999997 17.628829999999997 17.547665          17.45909           0.044149815999999995 0.046952546          0.071766734          0.06898511           0.059913553          0.023015587           0.040578168           0.013993961999999999  0.011180488999999998  0.014091093           0.025432903           0.018460626          0.0880950000000027     0.5062890000000024  0.01985925160704937   0.017911848222240075 SPLUS-s29s32 iDR3.SPLUS-s29s32.040836 51.98875139192221  -37.14833273749018  39.567818          999       4.10465            12.0              3              18.780518          18.317802          18.31242           18.271187          18.098053          18.061562          17.91187           17.716925          17.210635999999997 17.628829999999997 17.547665          17.45909           0.044149815999999995 0.046952546          0.071766734          0.06898511           0.059913553          0.023015587           0.040578168           0.013993961999999999  0.011180488999999998  0.014091093           0.025432903           0.018460626          0.0880950000000027     0.5062890000000024  0.01985925160704937   0.017911848222240075 0.0       
