# Field ID RA DEC FWHM ISOarea KRON_RADIUS nDet_magPStotal PhotoFlagDet U_PStotal F378_PStotal F395_PStotal F410_PStotal F430_PStotal G_PStotal F515_PStotal R_PStotal F660_PStotal I_PStotal F861_PStotal Z_PStotal e_U_PStotal e_F378_PStotal e_F395_PStotal e_F410_PStotal e_F430_PStotal e_G_PStotal e_F515_PStotal e_R_PStotal e_F660_PStotal e_I_PStotal e_F861_PStotal e_Z_PStotal r_-_i r_-_J0660 e(r_-_i) e(r_-_J0660)
HYDRA-0065 iDR3.HYDRA-0065.021505 160.80016313534168 -31.05492514274529 18.192078 1055 3.8582129999999997 12.0 2 19.053593 18.170067 18.305168 18.17361 18.039274 17.934948000000002 17.649738 17.396034 17.07515 17.159748 17.134531 17.027952 0.042426887999999996 0.043285053 0.03837563 0.029989993 0.025767042999999996 0.013006954 0.024447873 0.009658472 0.009547294 0.010013745 0.018061502 0.013037688 0.23628599999999977 0.3208839999999995 0.013912626290525056 0.013580754916322582
HYDRA-0065 iDR3.HYDRA-0065.031984 160.2588369311913 -30.79448369792909 8.314522 704 4.3157195999999995 12.0 2 18.821941 18.048838 18.147285 18.005379 17.829033 17.679302 17.436332999999998 17.100227 16.649573999999998 16.81939 16.726547 16.59745 0.037144784 0.0411521 0.03556197 0.02701478 0.022667205 0.011340956999999999 0.021684134 0.008219155 0.0076228403 0.008108151 0.013578735 0.009605951 0.2808370000000018 0.45065300000000263 0.011545415607626518 0.011209915394566058
HYDRA-0065 iDR3.HYDRA-0065.032419 160.87903861966984 -30.770138609280014 15.748229 128 3.79544 12.0 3 18.50195 17.831581 17.93402 17.90609 17.833868 17.795605 17.545925 17.439484 16.993668 17.275028 17.31671 17.218103 0.028927303999999997 0.03464832 0.02998388 0.025119172000000002 0.022558928 0.012015151000000002 0.022963332000000003 0.009856365 0.009074661999999999 0.010757821 0.020523218 0.014931587 0.16445600000000127 0.44581600000000066 0.014590361327988625 0.01339766477515649
HYDRA-0065 iDR3.HYDRA-0065.033610 160.8791677599853 -30.77221131800008 26.416534000000002 2402 4.144160299999999 12.0 3 18.373665 17.734367000000002 17.67971 17.624326999999997 17.49393 17.381165 17.10633 16.852710000000002 16.467758 16.58387 16.598774 16.434114 0.02658006 0.032563962 0.025497218999999998 0.021024982 0.018288454 0.009573624000000001 0.017817456000000002 0.0070620887 0.0068277875 0.0069989585 0.01237236 0.008534937 0.26884000000000086 0.38495200000000196 0.009942762035339574 0.009823022902947134
HYDRA-0065 iDR3.HYDRA-0065.050300 160.01746267011697 -30.263564222407457 8.783866999999999 93 3.7947936 12.0 3 18.350395000000002 17.544254000000002 18.249782999999997 18.135998 18.09655 17.950378 17.451878 17.401917 15.870632999999998 17.631062 17.783796 17.486086 0.026277065 0.02900414 0.03718789 0.029518932 0.027009241 0.013229583999999999 0.021907035 0.009722518000000001 0.0050625456 0.013950028 0.029958637000000003 0.01871944 -0.22914499999999904 1.531284000000003 0.017003841844157104 0.010961602264833522
HYDRA-0070 iDR3.HYDRA-0070.000170 154.06771339794557 -32.91475993060932 8.029762 221 3.3516413999999997 12.0 0 18.645364999999998 16.200768 17.725395000000002 15.875658 16.044468 14.967915 15.454362 17.008 15.054939000000001 15.437835999999999 14.347285999999999 16.506641000000002 0.038341157 0.009930962 0.03857665 0.010006082 0.010455333 0.0027152025 0.0064762859999999995 0.007940832 0.0029367841999999996 0.0032339394 0.0032333594 0.008196594 1.5701640000000001 1.9530609999999982 0.008574099188550151 0.008466493624257544
HYDRA-0071 iDR3.HYDRA-0071.073968 155.30113363909481 -31.523336901920253 21.037947 205 3.4640832 12.0 2 19.264622 18.714610999999998 19.413387 18.52306 18.420872 18.669285000000002 17.313734 17.887228 17.165924 17.619142999999998 15.7719345 15.487523999999999 0.03452835 0.048205662999999996 0.09642721 0.047326482999999996 0.042567175 0.018800955 0.017466161 0.010603172 0.008270358 0.010100565 0.006398868 0.004040662 0.2680850000000028 0.721304 0.014644066026237692 0.013447158729997499
HYDRA-0072 iDR3.HYDRA-0072.052963 158.40821799857346 -31.717799901235256 19.223726 204 3.689736 12.0 2 17.756546 17.479744 17.163155 16.63283 16.480173 16.076511 15.987257999999999 17.205065 15.4894905 17.893210999999997 15.479188 16.872982 0.018451573 0.023228087999999997 0.027801655 0.018783083 0.016761186 0.005482526 0.010517147 0.009267911 0.004109155 0.015498943999999999 0.005776921 0.010634053000000001 -0.6881459999999961 1.7155745000000007 0.01805855585087182 0.010138014061834103
HYDRA-0073 iDR3.HYDRA-0073.061352 160.01726305387942 -31.5155436872032 8.730414 489 3.1624315 12.0 3 21.124004 21.093683 19.842342000000002 19.65709 15.665915 16.722908 15.336129999999999 16.53416 14.812632999999998 15.681958999999999 14.483051000000001 14.71548 0.17177476 0.27587053 0.14778548 0.12233102 0.008664618 0.0066741086 0.006201594 0.005176838 0.0026086392000000003 0.0034605274 0.0032882912 0.0026517847999999998 0.8522010000000009 1.7215270000000018 0.006226949619548464 0.005796951798490361
HYDRA-0074 iDR3.HYDRA-0074.068497 160.36546852844964 -31.780316177810054 10.664061 7564 5.0743089999999995 12.0 3 18.314713 17.764416 17.56885 17.437542 17.29575 17.149082 16.994806 16.653172 16.145287 16.418083 16.275593 16.187443 0.01954841 0.021217661000000002 0.02805369 0.02312119 0.02097494 0.008113985 0.014516474 0.0054085017 0.005015375 0.0051231612 0.008576666 0.006049662 0.2350890000000021 0.5078850000000017 0.007449743037185131 0.007376033963420172
